frac01
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (psi),
Internal Node(2),10.11.2006 23:03:22,459354,-7.32598e+06,2744.01,3.048e-07,366.626,10.0523,366.852,999.358,0.318,0.0225005,2.39161,0.0336846,350.446,10.0511,6.25398,15.4831,16.4059,-0.226119,16.1798,
Internal Node(2),01.12.2006,459354,-7.32598e+06,2744.01,3.048e-07,365.774,10.0511,367.13,999.573,0.318,0.0203622,2.39161,0.064133,348.261,10.0502,6.95193,16.224,18.8689,-1.35635,17.5125,
Internal Node(2),01.12.2006,459354,-7.32598e+06,2744.01,3.048e-07,365.774,10.0511,367.13,999.573,0.318,0.0203622,2.39161,0.064133,348.261,10.0502,6.95193,16.224,18.8689,-1.35635,17.5125,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(3),09.12.1997 22:12:00,459354,-7.32599e+06,2736.66,0.217377,386.231,10.0776,373,1000.27,0.318,0.211058,867.532,0.214156,336.393,12.3051,0.918064,56.2871,36.6071,13.2318,49.8389,
Internal Node(3),05.02.1998 14:35:11,459354,-7.32599e+06,2737.25,0.0282413,386.673,10.0603,383.591,1000.09,0.318,0.132589,2.39161,0.193155,347.788,10.4025,1.56185,46.2791,35.8028,3.08283,38.8857,
Internal Node(3),12.04.1998 23:29:05,459355,-7.32599e+06,2737.72,3.048e-07,387.166,10.0582,385.228,1000.23,0.318,0.114114,2.39161,0.208694,348.846,10.2115,1.83241,37.9522,36.3826,1.93781,38.3205,
Internal Node(3),16.08.1998 08:06:27,459355,-7.32599e+06,2738.03,3.048e-07,369.689,10.0526,385.831,999.891,0.318,0.0865555,2.39161,0.174937,355.437,10.099,2.46583,37.8083,30.3941,-16.1425,14.2516,
Internal Node(3),18.10.1998 00:25:09,459355,-7.32599e+06,2738.02,0.0228391,358.911,10.0741,355.876,999.023,0.318,0.0751982,2.39161,0.172664,328.512,10.1538,2.88064,16.3007,27.3644,3.03443,30.3988,
Internal Node(3),19.12.1998 16:43:50,459356,-7.32599e+06,2738.33,3.048e-07,359.586,10.061,365.123,999.394,0.318,0.0692069,2.39161,0.157074,346.021,10.1017,3.18087,30.5803,19.1026,-5.53722,13.5653,
Internal Node(3),20.02.1999 09:02:31,459356,-7.32599e+06,2738.32,0.0734611,356.424,10.0673,352.399,998.881,0.318,0.0657377,33.4826,0.253158,332.532,10.1282,3.3655,16.8407,19.8668,4.02525,23.892,
Internal Node(3),25.06.1999 17:39:53,459356,-7.32599e+06,2738.6,3.048e-07,356.937,10.061,359.057,999.279,0.318,0.0630752,2.39161,0.132659,345.436,10.1023,3.56246,24.569,13.6211,-2.12045,11.5006,
Internal Node(3),27.08.1999 09:58:34,459357,-7.32599e+06,2738.57,0.0818295,349.205,10.0703,345.14,998.55,0.318,0.0593299,46.2781,0.245973,332.311,10.1449,3.81922,12.2438,12.8289,4.06427,16.8932,
Internal Node(3),30.12.1999 18:35:56,459357,-7.32599e+06,2739.04,3.048e-07,346.345,10.0651,350.123,998.805,0.318,0.059599,2.39161,0.123888,341.956,10.1132,3.90959,17.6081,8.1664,-3.77798,4.38841,
Internal Node(3),06.09.2000 11:50:41,459357,-7.32599e+06,2739.22,0.276558,352.869,10.0729,345.141,998.545,0.318,0.0577837,1786.51,0.0502581,337.825,10.1415,4.09511,9.55761,7.31593,7.72785,15.0438,
Internal Node(3),09.01.2001 20:28:03,459358,-7.326e+06,2740.19,0.0265492,357.406,10.0657,355.541,999.078,0.318,0.0567941,2.39161,0.0801013,350.903,10.1061,4.50612,14.729,4.63732,1.86512,6.50244,
Internal Node(3),13.03.2001 12:46:44,459358,-7.326e+06,2740.19,0.0601587,356.99,10.0666,354.296,998.91,0.318,0.055307,18.3883,0.172623,346.473,10.1313,4.6479,10.2637,7.82376,2.69358,10.5173,
Internal Node(3),15.05.2001 05:05:26,459359,-7.326e+06,2740.04,3.048e-07,358.191,10.0635,357.809,999.05,0.318,0.0533459,2.39161,0.0948542,350.489,10.1182,4.76647,10.8773,7.31963,0.38267,7.7023,
Internal Node(3),17.09.2001 13:42:48,459359,-7.326e+06,2740.04,0.0343934,359.901,10.0628,358.231,999.04,0.318,0.0524528,3.43614,0.0711521,349.777,10.1201,4.85418,9.39518,8.45429,1.66986,10.1242,
Internal Node(3),20.01.2002 22:20:10,459359,-7.326e+06,2740.04,0.0160658,361.662,10.0595,360.652,999.125,0.318,0.050618,2.39161,0.0698229,351.649,10.1077,5.04629,11.0482,9.00255,1.01013,10.0127,
Internal Node(3),26.05.2002 06:57:32,459359,-7.326e+06,2740.28,3.048e-07,363.192,10.0579,362.699,999.195,0.318,0.0502127,2.39161,0.0773277,352.632,10.0995,5.18913,11.4538,10.0671,0.492803,10.5599,
Internal Node(3),28.09.2002 15:34:55,459359,-7.326e+06,2740.31,3.048e-07,364.169,10.0585,363.826,999.244,0.318,0.0489939,2.39161,0.0461299,352.123,10.1001,5.34971,11.6346,11.7031,0.343346,12.0464,
Internal Node(3),30.11.2002 07:53:36,459359,-7.326e+06,2740.42,3.048e-07,364.758,10.0576,365.326,999.272,0.318,0.048094,2.39161,0.0690758,352.811,10.0937,5.50778,12.0001,12.5149,-0.567727,11.9472,
Internal Node(3),01.02.2003 00:12:17,459358,-7.326e+06,2740.44,3.048e-07,364.003,10.0577,365.679,999.336,0.318,0.0475705,2.39161,0.0883882,352.16,10.0937,5.59053,12.3122,13.5184,-1.67603,11.8423,
Internal Node(3),04.04.2003 16:30:58,459358,-7.326e+06,2740.45,3.048e-07,365.819,10.0574,366.526,999.4,0.318,0.0469385,2.39161,0.0604581,352.746,10.0915,5.6772,12.0203,13.7801,-0.706257,13.0739,
Internal Node(3),06.06.2003 08:49:39,459358,-7.326e+06,2740.45,3.048e-07,365.829,10.0567,366.86,999.328,0.318,0.0462841,2.39161,0.0580416,352.612,10.0892,5.76694,12.9491,14.2483,-1.03108,13.2172,
Internal Node(3),09.10.2003 17:27:02,459358,-7.326e+06,2740.46,3.048e-07,365.605,10.0566,367.107,999.405,0.318,0.045672,2.39161,0.0651232,352.043,10.0892,5.85329,13.1869,15.0644,-1.50226,13.5621,
Internal Node(3),16.06.2004 10:41:46,459358,-7.326e+06,2740.46,3.048e-07,366.307,10.0559,367.857,999.342,0.318,0.0444019,2.39161,0.0514364,351.955,10.0872,6.03286,13.3928,15.9018,-1.54976,14.352,
Internal Node(3),19.10.2004 19:19:08,459358,-7.326e+06,2740.46,3.048e-07,366.378,10.0547,368.668,999.347,0.318,0.0420732,2.39161,0.0512134,350.91,10.0844,6.39491,14.1482,17.7575,-2.2901,15.4674,
Internal Node(3),27.06.2005 12:33:53,459358,-7.326e+06,2740.46,3.048e-07,366.442,10.0536,369.145,999.35,0.318,0.0409375,2.39161,0.0512939,350.557,10.0814,6.58551,15.4316,18.5879,-2.70238,15.8855,
Internal Node(3),10.11.2006 23:03:22,459358,-7.326e+06,2740.47,3.048e-07,366.25,10.0523,369.639,999.341,0.318,0.0388269,2.39161,0.0480579,349.512,10.0785,6.97207,16.1185,20.1262,-3.38872,16.7375,
Internal Node(3),01.12.2006,459358,-7.326e+06,2740.48,3.048e-07,365.343,10.0511,370.472,999.558,0.318,0.0353239,2.39161,0.0641843,347.393,10.0771,7.70754,16.8,23.0796,-5.12944,17.9501,
Internal Node(3),01.12.2006,459358,-7.326e+06,2740.48,3.048e-07,365.343,10.0511,370.472,999.558,0.318,0.0353239,2.39161,0.0641843,347.393,10.0771,7.70754,16.8,23.0796,-5.12944,17.9501,
